Temp;Press;Alt;AccX;AccY;AccZ;GyrX;GyrY;GyrZ;MagX;MagY;MagZ;Yaw;Pitch;Roll;GpsLat;GpsLong;GpsAlt;GpsSpeed;SIV
47,928;907,857;-1,358;0,030;0,916;-0,052;0,250;-0,125;-0,250;-35,875;-46,188;79,500;2,313;1,687;-93,375;38402182;33704746;920;0,169;12
47,945;908,129;-1,368;0,028;0,919;-0,056;0,000;0,000;0,062;-35,500;-45,063;80,375;2,313;1,687;-93,375;38402183;33704746;920;0,169;12
47,945;908,011;-1,372;0,029;0,917;-0,050;-0,062;0,062;0,125;-35,875;-45,500;79,500;2,313;1,687;-93,375;38402183;33704746;920;0,169;12
47,928;907,975;-1,375;0,029;0,918;-0,052;0,125;-0,062;-0,062;-35,500;-46,188;79,875;2,313;1,687;-93,375;38402183;33704746;920;0,169;12
47,928;907,857;-1,370;0,029;0,919;-0,050;-0,062;-0,062;-0,125;-36,250;-45,750;79,875;2,313;1,687;-93,375;38402183;33704746;920;0,052;12
47,928;907,857;-1,366;0,024;0,917;-0,054;0,125;-0,062;0,125;-35,063;-45,063;79,500;2,313;1,687;-93,375;38402183;33704746;920;0,004;12
47,928;907,975;-1,368;0,028;0,918;-0,050;-0,062;-0,062;0,062;-36,563;-45,750;79,500;2,313;1,687;-93,375;38402182;33704746;920;0,146;12
47,928;907,975;-1,371;0,030;0,918;-0,051;0,125;0,187;-0,187;-36,250;-44,750;80,750;2,313;1,687;-93,375;38402182;33704746;920;0,146;12
47,928;907,975;-1,373;0,029;0,917;-0,051;0,125;0,187;0,000;-35,875;-45,063;79,500;2,313;1,687;-93,375;38402182;33704746;920;0,146;12
47,928;907,975;-1,375;0,029;0,916;-0,051;0,000;0,062;-0,187;-35,500;-45,500;78,563;2,313;1,687;-93,375;38402182;33704746;920;0,146;12
47,945;907,892;-1,373;0,029;0,916;-0,051;0,312;-0,187;-0,062;-35,875;-44,750;80,375;2,313;1,687;-93,375;38402183;33704746;920;0,146;12
47,945;907,892;-1,370;0,025;0,917;-0,052;0,187;0,062;-0,062;-35,500;-45,063;79,875;2,313;1,687;-93,375;38402182;33704746;920;0,146;12
47,945;908,011;-1,374;0,030;0,916;-0,050;-0,125;0,000;-0,187;-36,250;-45,750;79,875;2,313;1,687;-93,375;38402183;33704746;920;0,115;12
47,928;907,975;-1,376;0,032;0,916;-0,050;0,000;0,000;-0,125;-35,875;-45,063;80,375;2,313;1,687;-93,375;38402182;33704746;920;0,115;12
47,928;907,857;-1,372;0,029;0,919;-0,050;-0,187;0,000;0,125;-36,250;-45,063;80,375;2,313;1,687;-93,375;38402183;33704746;920;0,115;12
47,928;907,857;-1,368;0,029;0,919;-0,053;0,062;-0,187;0,000;-35,500;-45,750;80,375;2,313;1,687;-93,375;38402183;33704746;920;0,115;12
